month,observed,trend
2014-12-01,379,535.1782384664201
2015-01-01,442,538.5026680987592
2015-02-01,437,541.8270977310982
2015-03-01,542,544.586536199341
2015-04-01,656,547.345974667584
2015-05-01,600,549.7646019728893
2015-06-01,623,552.1832292781946
2015-07-01,662,554.2983357022574
2015-08-01,629,556.4134421263201
2015-09-01,539,555.0864781338908
2015-10-01,632,553.7595141414613
2015-11-01,495,549.9229758403584
2015-12-01,440,546.0864375392555
2016-01-01,417,544.4318100548101
2016-02-01,503,542.7771825703646
2016-03-01,499,540.8587156031057
2016-04-01,523,538.9402486358467
2016-05-01,605,534.2190222637626
2016-06-01,577,529.4977958916785
2016-07-01,669,523.1396686809398
2016-08-01,644,516.7815414702013
2016-09-01,566,508.7443500490108
2016-10-01,510,500.7071586278202
2016-11-01,398,487.9550191737593
2016-12-01,388,475.20287971969833
2017-01-01,340,457.0141947084237
2017-02-01,376,438.825509697149
2017-03-01,434,423.2237610203458
2017-04-01,473,407.62201234354256
2017-05-01,437,393.88253819406265
2017-06-01,436,380.14306404458273
2017-07-01,362,366.3776132148221
2017-08-01,398,352.6121623850614
2017-09-01,321,338.92570354120625
2017-10-01,397,325.23924469735107
2017-11-01,317,311.92054828585947
