month,observed,trend
2014-12-01,144,135.10790298824125
2015-01-01,142,135.99778145014932
2015-02-01,154,136.8876599120574
2015-03-01,142,137.62677208712125
2015-04-01,154,138.3658842621851
2015-05-01,124,138.95423361523353
2015-06-01,137,139.54258296828198
2015-07-01,116,139.76339009612775
2015-08-01,137,139.98419722397352
2015-09-01,116,138.57638433988484
2015-10-01,158,137.16857145579615
2015-11-01,180,134.8720417126517
2015-12-01,166,132.57551196950726
2016-01-01,129,130.03880626292963
2016-02-01,104,127.50210055635199
2016-03-01,128,125.17671794136578
2016-04-01,119,122.85133532637956
2016-05-01,117,122.66350006152305
2016-06-01,94,122.47566479666654
2016-07-01,95,125.4018177844027
2016-08-01,105,128.32797077213885
2016-09-01,132,132.31148867493025
2016-10-01,101,136.29500657772164
2016-11-01,160,140.80932563502688
2016-12-01,198,145.3236446923321
2017-01-01,176,150.09134173977463
2017-02-01,170,154.85903878721717
2017-03-01,153,155.8664817398124
2017-04-01,146,156.8739246924076
2017-05-01,151,156.93825759737908
2017-06-01,174,157.00259050235056
2017-07-01,181,156.8699565203096
2017-08-01,153,156.73732253826861
2017-09-01,130,156.31010914788527
2017-10-01,144,155.88289575750193
2017-11-01,140,155.13028586596374
